	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
35	0.004445	0.004445	0.004445	0.004445	0.811832	0.004445	0.004445	0.004445	0.004445	0.004445	0.130389	0.004445	0.004445	0.004445	0.004445
36	0.006061	0.006061	0.102548	0.278618	0.281946	0.006061	0.006061	0.006061	0.006061	0.006061	0.006061	0.006061	0.006061	0.006061	0.270218
37	0.002667	0.002667	0.002667	0.002667	0.128834	0.002667	0.002667	0.002667	0.002667	0.002667	0.476584	0.002667	0.002667	0.002667	0.362581
38	0.523458	0.013333	0.013333	0.013333	0.013333	0.303207	0.013333	0.013333	0.013333	0.013333	0.013333	0.013333	0.013333	0.013333	0.013333
39	0.004762	0.004762	0.004762	0.004762	0.004762	0.004762	0.004762	0.004762	0.004762	0.004762	0.004762	0.824242	0.004762	0.004762	0.113851
40	0.008333	0.008333	0.008333	0.280027	0.008333	0.008333	0.318130	0.008333	0.008333	0.301842	0.008333	0.008333	0.008333	0.008333	0.008333
41	0.182223	0.006061	0.006061	0.193509	0.006061	0.094059	0.006061	0.006061	0.463538	0.006061	0.006061	0.006061	0.006061	0.006061	0.006061
42	0.004762	0.004762	0.004762	0.004762	0.341234	0.004762	0.004762	0.004762	0.160044	0.004762	0.004762	0.441573	0.004762	0.004762	0.004762
43	0.432960	0.009524	0.009524	0.009524	0.009524	0.009524	0.009524	0.009524	0.443227	0.009524	0.009524	0.009524	0.009524	0.009524	0.009524
44	0.005557	0.250012	0.005557	0.005557	0.246398	0.005557	0.005557	0.005557	0.005557	0.005557	0.100223	0.005557	0.005557	0.005557	0.342238
45	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.004445	0.937776
46	0.002469	0.002469	0.049748	0.002469	0.830161	0.002469	0.002469	0.002469	0.002469	0.002469	0.090459	0.002469	0.002469	0.002469	0.002469
47	0.004762	0.004762	0.004762	0.004762	0.641085	0.004762	0.004762	0.004762	0.004762	0.004762	0.004762	0.297006	0.004762	0.004762	0.004762
48	0.002667	0.002667	0.002667	0.002667	0.909768	0.055563	0.002667	0.002667	0.002667	0.002667	0.002667	0.002667	0.002667	0.002667	0.002667
