	dominant_topic	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
45	17	0.008947	0.007241	0.006080	0.005240	0.004604	0.004106	0.003705	0.003376	0.003100	0.002866	0.002665	0.002490	0.002337	0.002201	0.002080	0.001972	0.001875	0.935115
46	15	0.004979	0.004023	0.097552	0.002911	0.002558	0.002281	0.002059	0.001876	0.001722	0.001592	0.001481	0.001383	0.001298	0.001223	0.001156	0.686660	0.184253	0.000993
47	15	0.009593	0.007758	0.006514	0.005615	0.004933	0.004400	0.003970	0.003617	0.003322	0.003071	0.002855	0.002668	0.002504	0.002358	0.002229	0.696691	0.235989	0.001914
48	15	0.005373	0.004344	0.003648	0.003144	0.002763	0.002464	0.002223	0.002026	0.001860	0.001720	0.001599	0.001494	0.001402	0.001321	0.001248	0.961174	0.001125	0.001072
49	0	0.410922	0.143745	0.015202	0.013103	0.011513	0.329370	0.009265	0.008441	0.007751	0.007166	0.006663	0.006226	0.005842	0.005504	0.005202	0.004932	0.004688	0.004467
50	10	0.006716	0.005431	0.004561	0.003931	0.003454	0.003080	0.002780	0.002532	0.002326	0.002150	0.951979	0.001868	0.001753	0.001651	0.001561	0.001480	0.001406	0.001340
51	1	0.350625	0.541196	0.013028	0.011229	0.009866	0.008799	0.007940	0.007234	0.006643	0.006141	0.005710	0.005335	0.005007	0.004717	0.004458	0.004226	0.004018	0.003828
52	12	0.012238	0.009874	0.008291	0.195905	0.006279	0.005600	0.005053	0.004603	0.004227	0.003908	0.003634	0.003395	0.723471	0.003002	0.002837	0.002690	0.002557	0.002436
53	5	0.323910	0.015514	0.013028	0.011229	0.009867	0.561194	0.007940	0.007234	0.006643	0.006141	0.005710	0.005336	0.005007	0.004717	0.004458	0.004226	0.004018	0.003828
54	0	0.366848	0.005431	0.272164	0.003930	0.003454	0.003080	0.002779	0.002532	0.002325	0.002150	0.001999	0.001868	0.001753	0.001651	0.001560	0.001479	0.323657	0.001340
55	14	0.044846	0.036195	0.030397	0.026200	0.023022	0.020531	0.018526	0.016878	0.015500	0.014329	0.013323	0.012449	0.011683	0.011005	0.676947	0.009861	0.009374	0.008933
56	1	0.033580	0.777106	0.022799	0.019650	0.017266	0.015398	0.013895	0.012659	0.011625	0.010747	0.009993	0.009337	0.008762	0.008254	0.007802	0.007396	0.007031	0.006700
57	16	0.003843	0.003105	0.123098	0.002246	0.001974	0.001760	0.001588	0.001447	0.001329	0.001228	0.001142	0.001067	0.111600	0.000943	0.000892	0.283891	0.458082	0.000766
58	17	0.008947	0.007241	0.006080	0.005240	0.004604	0.004106	0.003705	0.003376	0.003100	0.002866	0.002665	0.002490	0.002337	0.002201	0.002080	0.001972	0.001875	0.935115
59	10	0.008964	0.007248	0.006081	0.005241	0.004605	0.260084	0.003706	0.003376	0.003100	0.002866	0.679985	0.002490	0.002337	0.002201	0.002081	0.001973	0.001875	0.001787
60	2	0.011191	0.009051	0.472554	0.006551	0.005756	0.005134	0.004632	0.004220	0.003876	0.003583	0.003331	0.003113	0.002921	0.002752	0.002601	0.454156	0.002344	0.002234
61	15	0.006396	0.005173	0.230909	0.003743	0.128230	0.002933	0.002647	0.002411	0.002215	0.002047	0.001904	0.001779	0.001669	0.001572	0.001486	0.602270	0.001339	0.001276
62	17	0.008947	0.007239	0.410296	0.005240	0.004604	0.004106	0.003705	0.003376	0.003100	0.002866	0.002665	0.002490	0.002337	0.002201	0.002080	0.001972	0.001875	0.530900
63	17	0.008947	0.007240	0.006080	0.005240	0.004604	0.004106	0.003705	0.003376	0.003100	0.002866	0.002665	0.002490	0.002337	0.002201	0.002080	0.001972	0.001875	0.935116
64	0	0.711147	0.036233	0.030424	0.026221	0.023040	0.020547	0.018541	0.016892	0.015512	0.014341	0.013334	0.012459	0.011692	0.011014	0.010410	0.009869	0.009382	0.008940
65	1	0.044735	0.360731	0.030399	0.026200	0.023022	0.020531	0.018526	0.016878	0.015500	0.014329	0.013323	0.012449	0.011683	0.011005	0.010402	0.009861	0.009374	0.351050
66	12	0.019172	0.015513	0.013027	0.011229	0.009866	0.295163	0.007940	0.007234	0.006643	0.006141	0.005710	0.005335	0.575780	0.004716	0.004458	0.004226	0.004017	0.003828
67	2	0.011187	0.009051	0.820320	0.006550	0.005755	0.005133	0.004632	0.004220	0.003875	0.003582	0.003331	0.003112	0.106858	0.002751	0.002601	0.002465	0.002344	0.002233
68	15	0.004806	0.003879	0.395931	0.002807	0.002467	0.002200	0.001985	0.001808	0.001661	0.001535	0.001428	0.001334	0.001252	0.001179	0.001115	0.572653	0.001004	0.000957
69	0	0.537129	0.018098	0.015202	0.013100	0.011511	0.328827	0.009263	0.008439	0.007750	0.007165	0.006662	0.006225	0.005841	0.005503	0.005201	0.004931	0.004687	0.004467
70	17	0.008407	0.081384	0.005701	0.004913	0.004317	0.003850	0.003474	0.003165	0.002906	0.002687	0.002498	0.002334	0.002191	0.002064	0.001951	0.001849	0.421760	0.444549
71	5	0.283966	0.027173	0.022800	0.019652	0.017267	0.514936	0.013896	0.012660	0.011626	0.010748	0.009993	0.009338	0.008763	0.008254	0.007802	0.007396	0.007031	0.006700
72	6	0.013434	0.010866	0.261692	0.007862	0.006908	0.006161	0.388948	0.005065	0.004651	0.004300	0.003998	0.003736	0.003506	0.003302	0.267120	0.002959	0.002813	0.002680
73	17	0.006731	0.005430	0.004560	0.003930	0.003454	0.003080	0.002779	0.002532	0.002325	0.002150	0.001999	0.001868	0.001753	0.001651	0.001560	0.280242	0.001406	0.672550
74	6	0.012227	0.009874	0.008292	0.007146	0.006279	0.005600	0.629038	0.004604	0.004228	0.003908	0.003634	0.003396	0.003186	0.003002	0.287903	0.002690	0.002557	0.002436
75	16	0.320194	0.009874	0.008291	0.007146	0.006279	0.005600	0.005053	0.004603	0.004227	0.003908	0.003634	0.003395	0.003186	0.003002	0.002837	0.002690	0.603644	0.002436
76	16	0.010330	0.008356	0.007017	0.006048	0.005314	0.004739	0.185017	0.003896	0.003578	0.003307	0.003075	0.002874	0.002697	0.002540	0.002401	0.002276	0.744473	0.002062
77	5	0.033566	0.027159	0.022799	0.019651	0.319678	0.462945	0.013895	0.012659	0.011625	0.010747	0.009993	0.009337	0.008762	0.008254	0.007802	0.007396	0.007031	0.006700
78	15	0.008954	0.007243	0.006081	0.005241	0.004605	0.164996	0.003706	0.003376	0.003100	0.002866	0.002665	0.002490	0.002337	0.002201	0.002081	0.563645	0.212626	0.001787
79	17	0.005599	0.004525	0.062579	0.003275	0.002878	0.002566	0.002316	0.002110	0.001938	0.001791	0.001665	0.001556	0.001460	0.001376	0.001300	0.001233	0.001172	0.900660
80	0	0.826831	0.021720	0.018238	0.015720	0.013813	0.012318	0.011116	0.010127	0.009300	0.008598	0.007994	0.007470	0.007010	0.006603	0.006241	0.005917	0.005625	0.005360
81	1	0.033654	0.777033	0.022798	0.019652	0.017266	0.015398	0.013895	0.012659	0.011625	0.010747	0.009993	0.009337	0.008762	0.008254	0.007802	0.007396	0.007031	0.006700
82	17	0.012204	0.009873	0.008291	0.007146	0.006279	0.005599	0.005053	0.004603	0.004227	0.003908	0.003634	0.003395	0.003186	0.003001	0.002837	0.002689	0.002557	0.911518
83	3	0.005849	0.004724	0.371226	0.488586	0.003003	0.002678	0.002417	0.002202	0.002022	0.001869	0.001738	0.001624	0.001524	0.001436	0.001357	0.001286	0.105296	0.001165
84	6	0.008999	0.163813	0.006080	0.005240	0.004605	0.004106	0.780408	0.003376	0.003100	0.002866	0.002665	0.002490	0.002337	0.002201	0.002080	0.001972	0.001875	0.001787
85	1	0.022460	0.851327	0.015200	0.013101	0.011511	0.010266	0.009264	0.008440	0.007750	0.007165	0.006662	0.006225	0.005842	0.005503	0.005201	0.004931	0.004687	0.004467
86	0	0.383650	0.012071	0.010135	0.008735	0.007675	0.332114	0.006176	0.005627	0.005167	0.004777	0.004442	0.199007	0.003895	0.003669	0.003468	0.003288	0.003125	0.002978
87	16	0.071946	0.005717	0.004800	0.054158	0.003635	0.003242	0.002926	0.002665	0.002448	0.002263	0.002104	0.001966	0.001845	0.001738	0.001643	0.233843	0.601651	0.001411
88	15	0.013420	0.010862	0.009120	0.231362	0.006907	0.006160	0.005558	0.005064	0.004650	0.004299	0.003997	0.003735	0.003505	0.003302	0.003121	0.679446	0.002812	0.002680
89	14	0.122818	0.004179	0.003508	0.003023	0.050094	0.098507	0.232319	0.001948	0.001789	0.001653	0.001537	0.001437	0.001348	0.001270	0.284682	0.187776	0.001082	0.001031
90	5	0.012245	0.449035	0.008292	0.007147	0.006280	0.475470	0.005053	0.004604	0.004228	0.003909	0.003634	0.003396	0.003187	0.003002	0.002837	0.002690	0.002557	0.002437
91	16	0.013445	0.010863	0.009121	0.007861	0.006907	0.088285	0.005559	0.005064	0.004651	0.004299	0.003998	0.003735	0.381027	0.003302	0.003121	0.002959	0.443122	0.002680
92	15	0.013421	0.010861	0.009120	0.007860	0.006907	0.364463	0.005558	0.005064	0.004650	0.004299	0.003997	0.003735	0.003505	0.003302	0.003121	0.544646	0.002812	0.002680
93	1	0.019191	0.627464	0.013030	0.011230	0.009868	0.008800	0.007941	0.007235	0.006644	0.006142	0.005711	0.005336	0.005008	0.004717	0.004459	0.004227	0.249169	0.003829
94	2	0.022367	0.018099	0.432299	0.013101	0.011511	0.010266	0.009264	0.008440	0.007750	0.007165	0.006662	0.006225	0.005842	0.005503	0.005201	0.004931	0.420909	0.004467
95	15	0.006716	0.005430	0.004560	0.003930	0.003453	0.003080	0.002779	0.002532	0.002325	0.002150	0.001999	0.001867	0.001753	0.001651	0.001560	0.778435	0.174439	0.001340
96	17	0.013420	0.010860	0.009120	0.007861	0.006907	0.006160	0.005558	0.005064	0.004650	0.004299	0.003997	0.003735	0.003505	0.003302	0.003121	0.002959	0.359952	0.545530
97	15	0.007075	0.005718	0.165850	0.004138	0.194425	0.003242	0.002926	0.002666	0.002448	0.002263	0.002104	0.001966	0.255511	0.001738	0.001643	0.343398	0.001480	0.001411
98	17	0.013420	0.126590	0.009121	0.007860	0.006907	0.006159	0.005558	0.005064	0.004650	0.004299	0.003997	0.003735	0.003505	0.003302	0.003121	0.002958	0.002812	0.786943
99	16	0.022365	0.018098	0.015199	0.013100	0.011511	0.010266	0.009263	0.008439	0.007750	0.007165	0.006662	0.006225	0.005841	0.005503	0.005201	0.004931	0.838015	0.004467
100	4	0.013483	0.407831	0.009120	0.007860	0.509867	0.006159	0.005558	0.005064	0.004650	0.004299	0.003997	0.003735	0.003505	0.003302	0.003121	0.002958	0.002812	0.002680
101	1	0.413287	0.523608	0.007600	0.006550	0.005756	0.005133	0.004632	0.004220	0.003875	0.003582	0.003331	0.003112	0.002921	0.002751	0.002601	0.002465	0.002344	0.002233
102	12	0.022431	0.018102	0.015199	0.013100	0.011511	0.010265	0.009263	0.008439	0.007750	0.007165	0.006662	0.006225	0.839100	0.005503	0.005201	0.004931	0.004687	0.004466
103	1	0.019188	0.872627	0.013029	0.011229	0.009867	0.008799	0.007940	0.007234	0.006643	0.006142	0.005710	0.005336	0.005007	0.004717	0.004458	0.004227	0.004018	0.003829
104	0	0.458438	0.015516	0.283423	0.011229	0.009867	0.156268	0.007940	0.007234	0.006643	0.006141	0.005710	0.005336	0.005007	0.004717	0.004458	0.004226	0.004018	0.003829
105	2	0.011199	0.009052	0.523806	0.006550	0.197376	0.005133	0.004632	0.004220	0.003875	0.003582	0.003331	0.003112	0.002921	0.002751	0.002601	0.002465	0.211160	0.002233
106	16	0.385634	0.015515	0.013029	0.011230	0.009867	0.008800	0.007940	0.007234	0.006643	0.006142	0.005710	0.005336	0.005007	0.004717	0.004458	0.004227	0.494683	0.003829
107	0	0.354949	0.012071	0.010133	0.219801	0.007674	0.006844	0.006176	0.005627	0.005167	0.004777	0.004441	0.004150	0.003895	0.003669	0.003468	0.003287	0.340893	0.002978
108	10	0.016844	0.013583	0.011400	0.009825	0.008633	0.007699	0.006948	0.006330	0.005813	0.005374	0.532190	0.004669	0.352103	0.004127	0.003901	0.003698	0.003515	0.003350
109	15	0.007460	0.006036	0.005067	0.004367	0.003837	0.003422	0.228892	0.002813	0.002584	0.002388	0.002221	0.002075	0.001947	0.001834	0.001734	0.392427	0.329404	0.001489
110	5	0.033827	0.027151	0.022799	0.379494	0.017266	0.405264	0.013895	0.012659	0.011625	0.010747	0.009993	0.009337	0.008762	0.008254	0.007801	0.007396	0.007031	0.006700
111	16	0.019172	0.015514	0.013029	0.011230	0.009867	0.008800	0.007940	0.007234	0.006643	0.006142	0.005710	0.005336	0.005007	0.004717	0.161575	0.276683	0.431573	0.003829
112	5	0.137469	0.010867	0.245111	0.007860	0.006907	0.257890	0.005558	0.005064	0.079437	0.004299	0.003997	0.003735	0.003505	0.003302	0.003121	0.002958	0.002812	0.216109
113	4	0.008397	0.006793	0.228366	0.004913	0.329417	0.159069	0.003474	0.003165	0.002906	0.002687	0.002498	0.002334	0.122839	0.002064	0.001951	0.001849	0.001758	0.115521
114	4	0.044759	0.036205	0.030397	0.026200	0.689644	0.020531	0.018526	0.016878	0.015500	0.014329	0.013323	0.012449	0.011683	0.011005	0.010402	0.009861	0.009374	0.008933
